"arvore";"cap";"ht";"hi";"dicc";"espcasca"
1158;56,71;24,1;9,7;13,15;0,285
1158;56,71;24,1;10,9;12,29;0,248
1088;59,78;26,46;10,9;13,69;0,295
1158;56,71;24,1;12,1;11,59;0,268
1088;59,78;26,46;12,1;13,31;0,3125
1088;59,78;26,46;13,3;12,64;0,346
1158;56,71;24,1;13,3;10,73;0,239
1088;59,78;26,46;14,5;11,49;0,3045
1158;56,71;24,1;14,5;10,47;0,289
1088;59,78;26,46;15,7;11,14;0,254
1158;56,71;24,1;15,7;9,29;0,256
1158;56,71;24,1;16,9;8,91;0,257
1088;59,78;26,46;16,9;9,87;0,2925
1088;59,78;26,46;18,1;9,07;0,2345
1158;56,71;24,1;18,1;7,7;0,212
1158;56,71;24,1;19,3;6,43;0,217
1088;59,78;26,46;19,3;8,09;0,2185
1088;59,78;26,46;20,5;7;0,255
1158;56,71;24,1;20,5;5,83;0,258
1158;56,71;24,1;21,7;4,07;0,168
1088;59,78;26,46;21,7;5,47;0,2535
1088;59,78;26,46;22,9;4,14;0,145
1158;56,71;24,1;22,9;2,23;0,11
1158;56,71;24,1;23,7;0,73;0,071
1088;59,78;26,46;24,1;3,09;0,137
1088;59,78;26,46;25,3;1,59;0,1035
1088;59,78;26,46;25,8;0,86;0,061
1089;63,21;27,7;0,1;24,38;1,208
1159;63,49;27,5;0,1;26,1;0,683
1159;63,49;27,5;0,7;21,23;0,547
1089;63,21;27,7;0,7;20,79;1,1445
1159;63,49;27,5;1,3;20,21;0,505
1089;63,21;27,7;1,3;20,12;0,8075
1089;63,21;27,7;2,5;19,03;0,7485
1159;63,49;27,5;2,5;19,32;0,487
1089;63,21;27,7;3,7;18,65;0,705
1159;63,49;27,5;3,7;18,65;0,361
1089;63,21;27,7;4,9;18,3;0,697
1159;63,49;27,5;4,9;18,4;0,351
1159;63,49;27,5;6,1;17,57;0,338
1089;63,21;27,7;6,1;17,51;0,5675
1159;63,49;27,5;7,3;17,22;0,343
1089;63,21;27,7;7,3;16,97;0,4205
1159;63,49;27,5;8,5;16,52;0,331
1089;63,21;27,7;8,5;15,79;0,4225
1159;63,49;27,5;9,7;15,57;0,243
1089;63,21;27,7;9,7;15,28;0,382
1089;63,21;27,7;10,9;14,51;0,3395
1159;63,49;27,5;10,9;15,09;0,239
1159;63,49;27,5;12,1;14,1;0,256
1089;63,21;27,7;12,1;14,1;0,288
1089;63,21;27,7;13,3;13,37;0,356
1159;63,49;27,5;13,3;13,59;0,293
1089;63,21;27,7;14,5;12,61;0,3285
1159;63,49;27,5;14,5;13,05;0,306
1089;63,21;27,7;15,7;11,94;0,312
1159;63,49;27,5;15,7;12,38;0,248
1089;63,21;27,7;16,9;10,98;0,2725
1159;63,49;27,5;16,9;11,36;0,244
1159;63,49;27,5;18,1;10,73;0,235
1089;63,21;27,7;18,1;10,25;0,2675
1159;63,49;27,5;19,3;10,28;0,309
1089;63,21;27,7;19,3;9,84;0,343
1159;63,49;27,5;20,5;9,49;0,263
1089;63,21;27,7;20,5;8,34;0,2485
1159;63,49;27,5;21,7;8,59;0,293
1089;63,21;27,7;21,7;7,93;0,2895
1089;63,21;27,7;22,9;7,16;0,2915
1159;63,49;27,5;22,9;7,42;0,292
1159;63,49;27,5;24,1;6,21;0,267
1089;63,21;27,7;24,1;5,28;0,198
1159;63,49;27,5;25,3;4,3;0,16
1089;63,21;27,7;25,3;4,07;0,1725
1089;63,21;27,7;26,5;2,36;0,1125
1159;63,49;27,5;26,5;1,91;0,128
1159;63,49;27,5;27;0,95;0,069
1089;63,21;27,7;27;1,21;0,072
1160;38,99;21,2;0,1;15,6;0,681
1090;46,5;24,3;0,1;18,78;1,109
1160;38,99;21,2;0,7;13,21;0,55
1090;46,5;24,3;0,7;15,63;0,849
1090;46,5;24,3;1,3;14,8;0,5745
1160;38,99;21,2;1,3;12,41;0,346
1090;46,5;24,3;2,5;14,01;0,6045
1160;38,99;21,2;2,5;12,03;0,287
1090;46,5;24,3;3,7;13,69;0,493
1160;38,99;21,2;3,7;11,62;0,234
1160;38,99;21,2;4,9;10,92;0,211
1090;46,5;24,3;4,9;13,05;0,495
1090;46,5;24,3;6,1;12,57;0,421
1160;38,99;21,2;6,1;10,41;0,193
1160;38,99;21,2;7,3;9,93;0,189
1090;46,5;24,3;7,3;11,97;0,3215
1160;38,99;21,2;8,5;9,39;0,174
1090;46,5;24,3;8,5;11,78;0,2815
1090;46,5;24,3;9,7;10,6;0,24
1160;38,99;21,2;9,7;8,91;0,185
1160;38,99;21,2;10,9;8,34;0,147
1090;46,5;24,3;10,9;9,96;0,214
1160;38,99;21,2;12,1;7,8;0,161
1090;46,5;24,3;12,1;9,71;0,2405
1090;46,5;24,3;13,3;9,04;0,2255
1160;38,99;21,2;13,3;7,16;0,167
1160;38,99;21,2;14,5;6,56;0,146
1090;46,5;24,3;14,5;8,34;0,2525
1090;46,5;24,3;15,7;7,64;0,225
1160;38,99;21,2;15,7;6,02;0,148
1090;46,5;24,3;16,9;7,1;0,2085
1160;38,99;21,2;16,9;5,16;0,155
1090;46,5;24,3;18,1;6,27;0,1815
1160;38,99;21,2;18,1;4,2;0,15
1160;38,99;21,2;19,3;2,86;0,145
1090;46,5;24,3;19,3;5,57;0,2075
1160;38,99;21,2;20,5;1,59;0,118
1090;46,5;24,3;20,5;5;0,1905
1160;38,99;21,2;20,7;0,89;0,06
1090;46,5;24,3;21,7;3,6;0,1475
1090;46,5;24,3;22,9;2,48;0,1425
1090;46,5;24,3;23,7;1,02;0,108
1161;42;23,8;0,1;14,8;0,538
1091;62,2;27,1;0,1;23,24;1,329
1091;62,2;27,1;0,7;20,69;0,982
1161;42;23,8;0,7;13,85;0,472
1161;42;23,8;1,3;13,37;0,44
1091;62,2;27,1;1,3;19,8;0,812
1091;62,2;27,1;2,5;19,1;0,7165
1161;42;23,8;2,5;12,73;0,372
1091;62,2;27,1;3,7;18,4;0,664
1161;42;23,8;3,7;12,25;0,327
1161;42;23,8;4,9;11,78;0,249
1091;62,2;27,1;4,9;17,98;0,686
1161;42;23,8;6,1;11,3;0,212
1091;62,2;27,1;6,1;16,87;0,414
1091;62,2;27,1;7,3;16,39;0,4505
1161;42;23,8;7,3;10,89;0,219
1161;42;23,8;8,5;10,41;0,217
1091;62,2;27,1;8,5;15,69;0,3795
1091;62,2;27,1;9,7;15,02;0,375
1161;42;23,8;9,7;10,03;0,192
1161;42;23,8;10,9;9,71;0,205
1091;62,2;27,1;10,9;14,42;0,3615
1161;42;23,8;12,1;9,1;0,206
1091;62,2;27,1;12,1;13,53;0,334
1091;62,2;27,1;13,3;13,24;0,325
1161;42;23,8;13,3;8,59;0,201
1161;42;23,8;14,5;7,89;0,2
1091;62,2;27,1;14,5;12,54;0,311
1091;62,2;27,1;15,7;12;0,34
1161;42;23,8;15,7;7,32;0,193
1161;42;23,8;16,9;6,65;0,2
1091;62,2;27,1;16,9;10,89;0,305
1161;42;23,8;18,1;5,83;0,194
1091;62,2;27,1;18,1;9,93;0,293
1161;42;23,8;19,3;5,19;0,188
1091;62,2;27,1;19,3;9,36;0,2895
1161;42;23,8;20,5;4,58;0,198
1091;62,2;27,1;20,5;8,59;0,289
1091;62,2;27,1;21,7;7,26;0,2625
1161;42;23,8;21,7;2,99;0,159
1091;62,2;27,1;22,9;6,49;0,2375
1161;42;23,8;22,9;1,27;0,106
1091;62,2;27,1;24,1;5,03;0,2075
1091;62,2;27,1;25,3;2,77;0,164
1091;62,2;27,1;26,5;0,73;0,076
1162;25,01;14,8;0,1;11,05;0,42
1092;45,49;24,3;0,1;17,83;1,0055
1092;45,49;24,3;0,7;15,15;0,739
1162;25,01;14,8;0,7;8,69;0,294
1092;45,49;24,3;1,3;14,48;0,668
1162;25,01;14,8;1,3;7,96;0,311
1162;25,01;14,8;2,5;7,32;0,19
1092;45,49;24,3;2,5;13,88;0,5625
1092;45,49;24,3;3,7;13,31;0,3385
1162;25,01;14,8;3,7;6,91;0,165
1162;25,01;14,8;4,9;6,53;0,15
1092;45,49;24,3;4,9;12,89;0,373
1162;25,01;14,8;6,1;6,21;0,174
1092;45,49;24,3;6,1;12,29;0,3305
1092;45,49;24,3;7,3;11,59;0,288
1162;25,01;14,8;7,3;5,83;0,184
1162;25,01;14,8;8,5;5,09;0,195
1092;45,49;24,3;8,5;11,14;0,247
1162;25,01;14,8;9,7;4,62;0,137
1092;45,49;24,3;9,7;10,5;0,243
1162;25,01;14,8;10,9;3,82;0,178
1092;45,49;24,3;10,9;10,09;0,1985
1092;45,49;24,3;12,1;9,49;0,201
1162;25,01;14,8;12,1;3,6;0,138
1092;45,49;24,3;13,3;9,23;0,1995
1162;25,01;14,8;13,3;2,32;0,138
1162;25,01;14,8;14,3;0,83;0,073
1092;45,49;24,3;14,5;8,34;0,192
1092;45,49;24,3;15,7;7,73;0,1835
1092;45,49;24,3;16,9;7;0,206
1092;45,49;24,3;18,1;6,68;0,1755
1092;45,49;24,3;19,3;5,79;0,1875
1092;45,49;24,3;20,5;4,87;0,19
1092;45,49;24,3;21,7;3,98;0,155
1092;45,49;24,3;22,9;2,48;0,103
1092;45,49;24,3;23,8;0,89;0,055
1163;27,49;11,9;0,1;11,55;0,633
1163;27,49;11,9;0,7;9,55;0,325
1163;27,49;11,9;1,3;8,75;0,285
1163;27,49;11,9;2,5;8,37;0,248
1163;27,49;11,9;3,7;7,48;0,229
1163;27,49;11,9;4,9;6,91;0,203
1163;27,49;11,9;6,1;6,11;0,184
1163;27,49;11,9;7,3;5,19;0,198
1163;27,49;11,9;8,5;5,03;0,171
1163;27,49;11,9;9,7;3,31;0,155
1163;27,49;11,9;10,9;1,4;0,073
1164;23,5;13,8;0,1;9,45;0,377
1164;23,5;13,8;0,7;7,96;0,246
1164;23,5;13,8;1,3;7,48;0,212
1164;23,5;13,8;2,5;6,91;0,148
1164;23,5;13,8;3,7;6,37;0,148
1164;23,5;13,8;4,9;5,95;0,134
1164;23,5;13,8;6,1;5,54;0,117
1164;23,5;13,8;7,3;5,03;0,116
1164;23,5;13,8;8,5;4,36;0,111
1164;23,5;13,8;9,7;3,82;0,104
1164;23,5;13,8;10,9;3,28;0,105
1164;23,5;13,8;12,1;2,39;0,1
1164;23,5;13,8;13,3;1,11;0,084
1166;42,51;22,3;0,1;16,55;0,596
1166;42,51;22,3;0,7;14,01;0,499
1166;42,51;22,3;1,3;13,53;0,345
1166;42,51;22,3;2,5;12,48;0,211
1166;42,51;22,3;3,7;12,03;0,224
1166;42,51;22,3;4,9;11,75;0,185
1166;42,51;22,3;6,1;11,08;0,189
1166;42,51;22,3;7,3;10,6;0,166
1166;42,51;22,3;8,5;9,93;0,165
1166;42,51;22,3;9,7;9,55;0,149
1166;42,51;22,3;10,9;9,33;0,162
1166;42,51;22,3;12,1;8,53;0,14
1166;42,51;22,3;13,3;7,89;0,159
1166;42,51;22,3;14,5;7,58;0,157
1166;42,51;22,3;15,7;6,91;0,166
1166;42,51;22,3;16,9;6,08;0,183
1166;42,51;22,3;18,1;5,32;0,151
1166;42,51;22,3;19,3;4,3;0,118
1166;42,51;22,3;20,5;2,99;0,181
1166;42,51;22,3;21,7;1,05;0,103
1167;39,49;19,9;0,1;15,53;0,895
1167;39,49;19,9;0,7;12,99;0,881
1167;39,49;19,9;1,3;12,57;0,656
1167;39,49;19,9;2,5;11,36;0,466
1167;39,49;19,9;3,7;10,41;0,408
1167;39,49;19,9;4,9;10,09;0,284
1167;39,49;19,9;6,1;9,64;0,311
1167;39,49;19,9;7,3;9,2;0,189
1167;39,49;19,9;8,5;8,5;0,147
1167;39,49;19,9;9,7;7,99;0,185
1167;39,49;19,9;10,9;7,64;0,144
1167;39,49;19,9;12,1;7;0,178
1167;39,49;19,9;13,3;6,14;0,158
1167;39,49;19,9;14,5;5,32;0,138
1167;39,49;19,9;15,7;4,68;0,146
1167;39,49;19,9;16,9;3,88;0,146
1167;39,49;19,9;18,1;2,64;0,119
1167;39,49;19,9;19,3;0,95;0,071
1168;21,99;12,9;0,1;9,49;0,566
1168;21,99;12,9;0,7;7,23;0,349
1168;21,99;12,9;1,3;7;0,294
1168;21,99;12,9;2,5;6,27;0,241
1168;21,99;12,9;3,7;5,79;0,155
1168;21,99;12,9;4,9;5,41;0,172
1168;21,99;12,9;6,1;4,93;0,133
1168;21,99;12,9;7,3;4,52;0,116
1168;21,99;12,9;8,5;3,88;0,128
1168;21,99;12,9;9,7;3,47;0,116
1168;21,99;12,9;10,9;2,74;0,113
1168;21,99;12,9;12,1;1,08;0,093
1099;40,72;22,5;0,1;16,17;0,935
1169;45,99;24,2;0,1;17,67;0,678
1099;40,72;22,5;0,7;13,4;0,662
1169;45,99;24,2;0,7;15,22;0,405
1099;40,72;22,5;1,3;12,96;0,458
1169;45,99;24,2;1,3;14,64;0,322
1099;40,72;22,5;2,5;12,1;0,45
1169;45,99;24,2;2,5;14,01;0,252
1099;40,72;22,5;3,7;11,62;0,345
1169;45,99;24,2;3,7;13,15;0,251
1099;40,72;22,5;4,9;11,24;0,2835
1169;45,99;24,2;4,9;12,8;0,239
1099;40,72;22,5;6,1;10,82;0,29
1169;45,99;24,2;6,1;12,25;0,239
1099;40,72;22,5;7,3;10,03;0,249
1169;45,99;24,2;7,3;11,87;0,225
1169;45,99;24,2;8,5;11,27;0,216
1099;40,72;22,5;8,5;9,55;0,245
1099;40,72;22,5;9,7;9,33;0,2195
1169;45,99;24,2;9,7;10,82;0,192
1099;40,72;22,5;10,9;8,69;0,198
1169;45,99;24,2;10,9;10,31;0,171
1099;40,72;22,5;12,1;8,18;0,201
1169;45,99;24,2;12,1;10,09;0,188
1169;45,99;24,2;13,3;9,14;0,184
1099;40,72;22,5;13,3;7,61;0,2185
1099;40,72;22,5;14,5;7,07;0,179
1169;45,99;24,2;14,5;8,82;0,162
1099;40,72;22,5;15,7;6,33;0,1705
1169;45,99;24,2;15,7;7,86;0,154
1169;45,99;24,2;16,9;7,16;0,155
1099;40,72;22,5;16,9;5,73;0,1665
1169;45,99;24,2;18,1;6,53;0,165
1099;40,72;22,5;18,1;5,06;0,1415
1099;40,72;22,5;19,3;4,14;0,1925
1169;45,99;24,2;19,3;5,83;0,149
1099;40,72;22,5;20,5;2,32;0,1445
1169;45,99;24,2;20,5;4,87;0,169
1169;45,99;24,2;21,7;3,98;0,172
1099;40,72;22,5;21,7;1,88;0,0885
1099;40,72;22,5;22,1;0,7;0,0475
1169;45,99;24,2;22,9;2,55;0,097
1169;45,99;24,2;23,7;0,92;0,049
1100;62,02;24,7;0,1;21,39;1,1305
1170;22,49;13,3;0,1;8,66;0,526
1170;22,49;13,3;0,7;7,58;0,311
1100;62,02;24,7;0,7;20,24;0,949
1100;62,02;24,7;1,3;19,74;0,85
1170;22,49;13,3;1,3;7,16;0,254
1100;62,02;24,7;2,5;18,78;0,6365
1170;22,49;13,3;2,5;6,68;0,154
1170;22,49;13,3;3,7;6,27;0,156
1100;62,02;24,7;3,7;18,46;0,714
1170;22,49;13,3;4,9;5,79;0,141
1100;62,02;24,7;4,9;17,83;0,5755
1100;62,02;24,7;6,1;16,93;0,489
1170;22,49;13,3;6,1;5,38;0,165
1170;22,49;13,3;7,3;5;0,153
1100;62,02;24,7;7,3;16,33;0,4725
1100;62,02;24,7;8,5;15,15;0,3875
1170;22,49;13,3;8,5;4,46;0,133
1170;22,49;13,3;9,7;3,79;0,101
1100;62,02;24,7;9,7;14,64;0,369
1170;22,49;13,3;10,9;3,02;0,084
1100;62,02;24,7;10,9;14,04;0,3575
1170;22,49;13,3;12,1;1,91;0,083
1100;62,02;24,7;12,1;13,37;0,369
1170;22,49;13,3;12,8;0,89;0,063
1100;62,02;24,7;13,3;12,64;0,3655
1100;62,02;24,7;14,5;12,29;0,4255
1100;62,02;24,7;15,7;11,14;0,363
1100;62,02;24,7;16,9;10,28;0,356
1100;62,02;24,7;18,1;9,58;0,3405
1100;62,02;24,7;19,3;8,59;0,3555
1100;62,02;24,7;20,5;7,26;0,331
1100;62,02;24,7;21,7;5,54;0,276
1100;62,02;24,7;22,9;3,53;0,189
1100;62,02;24,7;24,1;0,16;0,109
1100;62,02;24,7;24,3;0,1;0,0785
1101;57,4;22,97;0,1;22,98;1,546
1171;58,5;25,8;0,1;21,96;0,878
1101;57,4;22,97;0,7;19,35;1,0035
1171;58,5;25,8;0,7;19,1;0,643
1171;58,5;25,8;1,3;18,62;0,591
1101;57,4;22,97;1,3;18,27;0,907
1171;58,5;25,8;2,5;17,6;0,43
1101;57,4;22,97;2,5;17,67;0,7205
1171;58,5;25,8;3,7;16,55;0,368
1101;57,4;22,97;3,7;16,71;0,6685
1171;58,5;25,8;4,9;16,33;0,367
1101;57,4;22,97;4,9;16,55;0,4995
1171;58,5;25,8;6,1;15,92;0,372
1101;57,4;22,97;6,1;15,28;0,4525
1101;57,4;22,97;7,3;14,67;0,4145
1171;58,5;25,8;7,3;15,28;0,384
1171;58,5;25,8;8,5;14,96;0,346
1101;57,4;22,97;8,5;14,23;0,4125
1171;58,5;25,8;9,7;14,23;0,34
1101;57,4;22,97;9,7;13,62;0,387
1101;57,4;22,97;10,9;12,67;0,357
1171;58,5;25,8;10,9;13,43;0,321
1101;57,4;22,97;12,1;12,03;0,327
1171;58,5;25,8;12,1;12,73;0,308
1101;57,4;22,97;13,3;11,14;0,3305
1171;58,5;25,8;13,3;12,38;0,339
1101;57,4;22,97;14,5;10,82;0,342
1171;58,5;25,8;14,5;11,2;0,349
1101;57,4;22,97;15,7;9,61;0,317
1171;58,5;25,8;15,7;10,7;0,303
1171;58,5;25,8;16,9;10,09;0,308
1101;57,4;22,97;16,9;8,85;0,3325
1101;57,4;22,97;18,1;7,51;0,301
1171;58,5;25,8;18,1;8,91;0,26
1101;57,4;22,97;19,3;6,02;0,2285
1171;58,5;25,8;19,3;7,96;0,269
1101;57,4;22,97;20,5;4,2;0,224
1171;58,5;25,8;20,5;7,32;0,287
1171;58,5;25,8;21,7;6,37;0,266
1101;57,4;22,97;21,7;2,55;0,1845
1101;57,4;22,97;22,5;0,76;0,094
1171;58,5;25,8;22,9;4,71;0,197
1171;58,5;25,8;24,1;3,02;0,144
1171;58,5;25,8;25,3;0,95;0,107
1102;51,99;24,7;0,1;20,05;1,3585
1102;51,99;24,7;0,7;17,35;0,945
1102;51,99;24,7;1,3;16,55;0,818
1102;51,99;24,7;2,5;15,98;0,8045
1102;51,99;24,7;3,7;15,69;0,6105
1102;51,99;24,7;4,9;15,28;0,4135
1102;51,99;24,7;6,1;14,2;0,414
1102;51,99;24,7;7,3;13,94;0,4605
1102;51,99;24,7;8,5;13,27;0,4135
1102;51,99;24,7;9,7;12,76;0,354
1102;51,99;24,7;10,9;12,22;0,3225
1102;51,99;24,7;12,1;11,62;0,3015
1102;51,99;24,7;13,3;10,95;0,305
1102;51,99;24,7;14,5;10,31;0,324
1102;51,99;24,7;15,7;9,36;0,273
1102;51,99;24,7;16,9;8,82;0,251
1102;51,99;24,7;18,1;8,15;0,2705
1102;51,99;24,7;19,3;7,1;0,2525
1102;51,99;24,7;20,5;6,05;0,2435
1102;51,99;24,7;21,7;4,68;0,1965
1102;51,99;24,7;22,9;3,25;0,1695
1102;51,99;24,7;24,1;0,83;0,1015
1105;46,59;21,2;0,1;18,49;1,725
1105;46,59;21,2;0,7;15,44;0,9915
1105;46,59;21,2;1,3;14,83;0,829
1105;46,59;21,2;2,5;14,16;0,738
1105;46,59;21,2;3,7;13,43;0,735
1105;46,59;21,2;4,9;12,41;0,445
1105;46,59;21,2;6,1;11,94;0,422
1105;46,59;21,2;7,3;11,4;0,423
1105;46,59;21,2;8,5;10,82;0,3355
1105;46,59;21,2;9,7;10,19;0,3045
1105;46,59;21,2;10,9;9,29;0,306
1105;46,59;21,2;12,1;8,75;0,269
1105;46,59;21,2;13,3;8,4;0,288
1105;46,59;21,2;14,5;7,51;0,266
1105;46,59;21,2;15,7;6,75;0,285
1105;46,59;21,2;16,9;5,98;0,25
1105;46,59;21,2;18,1;4,71;0,232
1105;46,59;21,2;19,3;3,44;0,211
1105;46,59;21,2;20,5;1,27;0,119
1106;43,01;21,2;0,1;16,77;1,175
1106;43,01;21,2;0,7;14,13;1,125
1106;43,01;21,2;1,3;13,69;0,762
1106;43,01;21,2;2,5;13,05;0,561
1106;43,01;21,2;3,7;12,16;0,458
1106;43,01;21,2;4,9;11,46;0,415
1106;43,01;21,2;6,1;11,08;0,346
1106;43,01;21,2;7,3;10,82;0,365
1106;43,01;21,2;8,5;10,09;0,351
1106;43,01;21,2;9,7;9,71;0,39
1106;43,01;21,2;10,9;9,07;0,295
1106;43,01;21,2;12,1;8,18;0,275
1106;43,01;21,2;13,3;7,8;0,345
1106;43,01;21,2;14,5;6,97;0,267
1106;43,01;21,2;15,7;6,68;0,252
1106;43,01;21,2;16,9;6,37;0,418
1106;43,01;21,2;18,1;5,73;0,432
1106;43,01;21,2;19,3;4,04;0,129
1106;43,01;21,2;20,5;1,27;0,118
1177;42,79;23,1;0,1;16,23;0,715
1177;42,79;23,1;0,7;14,32;0,525
1177;42,79;23,1;1,3;13,62;0,521
1177;42,79;23,1;2,5;13,15;0,379
1177;42,79;23,1;3,7;12,25;0,268
1177;42,79;23,1;4,9;12;0,266
1177;42,79;23,1;6,1;11,78;0,243
1177;42,79;23,1;7,3;11,05;0,216
1177;42,79;23,1;8,5;10,5;0,222
1177;42,79;23,1;9,7;9,93;0,231
